Rank,City,State,Population 2019,2010 census,Location
1,New York City,New York,"8,336,817","8,175,133",40.6635°N 73.9387°W
2,Los Angeles,California,"3,979,576","3,792,621",34.0194°N 118.4108°W
3,Chicago,Illinois,"2,693,976","2,695,598",41.8376°N 87.6818°W
4,Houston,Texas,"2,320,268","2,100,263",29.7866°N 95.3909°W
5,Phoenix,Arizona,"1,680,992","1,445,632",33.5722°N 112.0901°W
6,Philadelphia,Pennsylvania,"1,584,064","1,526,006",40.0094°N 75.1333°W
7,San Antonio,Texas,"1,547,253","1,327,407",29.4724°N 98.5251°W
8,San Diego,California,"1,423,851","1,307,402",32.8153°N 117.1350°W
9,Dallas,Texas,"1,343,573","1,197,816",32.7933°N 96.7665°W
10,San Jose,California,"1,021,795","945,942",37.2967°N 121.8189°W
11,Austin,Texas,"978,908","790,390",30.3039°N 97.7544°W
12,Jacksonville,Florida,"911,507","821,784",30.3369°N 81.6616°W
13,Fort Worth,Texas,"909,585","741,206",32.7815°N 97.3467°W
14,Columbus,Ohio,"898,553","787,033",39.9852°N 82.9848°W
15,Charlotte,North Carolina,"885,708","731,424",35.2078°N 80.8310°W
16,San Francisco,California,"881,549","805,235",37.7272°N 123.0322°W
17,Indianapolis,Indiana,"876,384","820,445",39.7767°N 86.1459°W
18,Seattle,Washington,"753,675","608,660",47.6205°N 122.3509°W
19,Denver,Colorado,"727,211","600,158",39.7619°N 104.8811°W
20,Washington,District of Columbia,"705,749","601,723",38.9041°N 77.0172°W
21,Boston,Massachusetts,"692,600","617,594",42.3320°N 71.0202°W
22,El Paso,Texas,"681,728","649,121",31.8484°N 106.4270°W
23,Nashville,Tennessee,"670,820","601,222",36.1718°N 86.7850°W
24,Detroit,Michigan,"670,031","713,777",42.3830°N 83.1022°W
25,Oklahoma City,Oklahoma,"655,057","579,999",35.4671°N 97.5137°W
26,Portland,Oregon,"654,741","583,776",45.5370°N 122.6500°W
27,Las Vegas,Nevada,"651,319","583,756",36.2292°N 115.2601°W
28,Memphis,Tennessee,"651,073","646,889",35.1028°N 89.9774°W
29,Louisville,Kentucky,"617,638","597,337",38.1654°N 85.6474°W
30,Baltimore,Maryland,"593,490","620,961",39.3000°N 76.6105°W
31,Milwaukee,Wisconsin,"590,157","594,833",43.0633°N 87.9667°W
32,Albuquerque,New Mexico,"560,513","545,852",35.1056°N 106.6474°W
33,Tucson,Arizona,"548,073","520,116",32.1531°N 110.8706°W
34,Fresno,California,"531,576","494,665",36.7836°N 119.7934°W
35,Mesa,Arizona,"518,012","439,041",33.4019°N 111.7174°W
36,Sacramento,California,"513,624","466,488",38.5666°N 121.4686°W
37,Atlanta,Georgia,"506,811","420,003",33.7629°N 84.4227°W
38,Kansas City,Missouri,"495,327","459,787",39.1251°N 94.5510°W
39,Colorado Springs,Colorado,"478,221","416,427",38.8673°N 104.7607°W
40,Omaha,Nebraska,"478,192","408,958",41.2644°N 96.0451°W
41,Raleigh,North Carolina,"474,069","403,892",35.8306°N 78.6418°W
42,Miami,Florida,"467,963","399,457",25.7752°N 80.2086°W
43,Long Beach,California,"462,628","462,257",33.8092°N 118.1553°W
44,Virginia Beach,Virginia,"449,974","437,994",36.7800°N 76.0252°W
45,Oakland,California,"433,031","390,724",37.7698°N 122.2257°W
46,Minneapolis,Minnesota,"429,606","382,578",44.9633°N 93.2683°W
47,Tulsa,Oklahoma,"401,190","391,906",36.1279°N 95.9023°W
48,Tampa,Florida,"399,700","335,709",27.9701°N 82.4797°W
49,Arlington,Texas,"398,854","365,438",32.7007°N 97.1247°W
50,New Orleans,Louisiana,"390,144","343,829",30.0534°N 89.9345°W
51,Wichita,Kansas,"389,938","382,368",37.6907°N 97.3459°W
52,Bakersfield,California,"384,145","347,483",35.3212°N 119.0183°W
53,Cleveland,Ohio,"381,009","396,815",41.4785°N 81.6794°W
54,Aurora,Colorado,"379,289","325,078",39.6880°N 104.6897°W
55,Anaheim,California,"350,365","336,265",33.8555°N 117.7601°W
56,Honolulu,Hawaii,"345,064","337,256",21.3243°N 157.8476°W
57,Santa Ana,California,"332,318","324,528",33.7363°N 117.8830°W
58,Riverside,California,"331,360","303,871",33.9381°N 117.3932°W
59,Corpus Christi,Texas,"326,586","305,215",27.7543°N 97.1734°W
60,Lexington,Kentucky,"323,152","295,803",38.0407°N 84.4583°W
61,Henderson,Nevada,"320,189","257,729",36.0097°N 115.0357°W
62,Stockton,California,"312,697","291,707",37.9763°N 121.3133°W
63,Saint Paul,Minnesota,"308,096","285,068",44.9489°N 93.1041°W
64,Cincinnati,Ohio,"303,940","296,943",39.1402°N 84.5058°W
65,St. Louis,Missouri,"300,576","319,294",38.6357°N 90.2446°W
66,Pittsburgh,Pennsylvania,"300,286","305,704",40.4398°N 79.9766°W
67,Greensboro,North Carolina,"296,710","269,666",36.0951°N 79.8270°W
68,Lincoln,Nebraska,"289,102","258,379",40.8105°N 96.6803°W
69,Anchorage,Alaska,"288,000","291,826",61.1743°N 149.2843°W
70,Plano,Texas,"287,677","259,841",33.0508°N 96.7479°W
71,Orlando,Florida,"287,442","238,300",28.4166°N 81.2736°W
72,Irvine,California,"287,401","212,375",33.6784°N 117.7713°W
73,Newark,New Jersey,"282,011","277,140",40.7242°N 74.1726°W
74,Durham,North Carolina,"278,993","228,330",35.9811°N 78.9029°W
75,Chula Vista,California,"274,492","243,916",32.6277°N 117.0152°W
76,Toledo,Ohio,"272,779","287,208",41.6641°N 83.5819°W
77,Fort Wayne,Indiana,"270,402","253,691",41.0882°N 85.1439°W
78,St. Petersburg,Florida,"265,351","244,769",27.7620°N 82.6441°W
79,Laredo,Texas,"262,491","236,091",27.5604°N 99.4892°W
80,Jersey City,New Jersey,"262,075","247,597",40.7114°N 74.0648°W
81,Chandler,Arizona,"261,165","236,123",33.2829°N 111.8549°W
82,Madison,Wisconsin,"259,680","233,209",43.0878°N 89.4299°W
83,Lubbock,Texas,"258,862","229,573",33.5656°N 101.8867°W
84,Scottsdale,Arizona,"258,069","217,385",33.6843°N 111.8611°W
85,Reno,Nevada,"255,601","225,221",39.5491°N 119.8499°W
86,Buffalo,New York,"255,284","261,310",42.8925°N 78.8597°W
87,Gilbert,Arizona,"254,114","208,453",33.3103°N 111.7431°W
88,Glendale,Arizona,"252,381","226,721",33.5331°N 112.1899°W
89,North Las Vegas,Nevada,"251,974","216,961",36.2857°N 115.0939°W
90,Winston–Salem,North Carolina,"247,945","229,617",36.1027°N 80.2610°W
91,Chesapeake,Virginia,"244,835","222,209",36.6794°N 76.3018°W
92,Norfolk,Virginia,"242,742","242,803",36.9230°N 76.2446°W
93,Fremont,California,"241,110","214,089",37.4945°N 121.9412°W
94,Garland,Texas,"239,928","226,876",32.9098°N 96.6303°W
95,Irving,Texas,"239,798","216,290",32.8577°N 96.9700°W
96,Hialeah,Florida,"233,339","224,669",25.8699°N 80.3029°W
97,Richmond,Virginia,"230,436","204,214",37.5314°N 77.4760°W
98,Boise,Idaho,"228,959","205,671",43.6002°N 116.2317°W
99,Spokane,Washington,"222,081","208,916",47.6669°N 117.4333°W
100,Baton Rouge,Louisiana,"220,236","229,493",30.4422°N 91.1309°W
101,Tacoma,Washington,"217,827","198,397",47.2522°N 122.4598°W
102,San Bernardino,California,"215,784","209,924",34.1416°N 117.2936°W
103,Modesto,California,"215,196","201,165",37.6375°N 121.0030°W
104,Fontana,California,"214,547","196,069",34.1090°N 117.4629°W
105,Des Moines,Iowa,"214,237","203,433",41.5726°N 93.6102°W
106,Moreno Valley,California,"213,055","193,365",33.9233°N 117.2057°W
107,Santa Clarita,California,"212,979","176,320",34.4030°N 118.5042°W
108,Fayetteville,North Carolina,"211,657","200,564",35.0828°N 78.9735°W
109,Birmingham,Alabama,"209,403","212,237",33.5274°N 86.7990°W
110,Oxnard,California,"208,881","197,899",34.2023°N 119.2046°W
111,Rochester,New York,"205,695","210,565",43.1699°N 77.6169°W
112,Port St. Lucie,Florida,"201,846","164,603",27.2806°N 80.3883°W
113,Grand Rapids,Michigan,"201,013","188,040",42.9612°N 85.6556°W
114,Huntsville,Alabama,"200,574","180,105",34.6990°N 86.6730°W
115,Salt Lake City,Utah,"200,567","186,440",40.7769°N 111.9310°W
116,Frisco,Texas,"200,490","116,989",33.1554°N 96.8226°W
117,Yonkers,New York,"200,370","195,976",40.9459°N 73.8674°W
118,Amarillo,Texas,"199,371","190,695",35.1999°N 101.8302°W
119,Glendale,California,"199,303","191,719",34.1814°N 118.2458°W
120,Huntington Beach,California,"199,223","189,992",33.6906°N 118.0093°W
121,McKinney,Texas,"199,177","131,117",33.1985°N 96.6680°W
122,Montgomery,Alabama,"198,525","205,764",32.3472°N 86.2661°W
123,Augusta,Georgia,"197,888","195,844",33.3655°N 82.0734°W
124,Aurora,Illinois,"197,757","197,899",41.7635°N 88.2901°W
125,Akron,Ohio,"197,597","199,110",41.0805°N 81.5214°W
126,Little Rock,Arkansas,"197,312","193,524",34.7254°N 92.3586°W
127,Tempe,Arizona,"195,805","161,719",33.3884°N 111.9318°W
128,Columbus,Georgia,"195,769","189,885",32.5102°N 84.8749°W
129,Overland Park,Kansas,"195,494","173,372",38.8890°N 94.6906°W
130,Grand Prairie,Texas,"194,543","175,396",32.6869°N 97.0211°W
131,Tallahassee,Florida,"194,500","181,376",30.4551°N 84.2534°W
132,Cape Coral,Florida,"194,495","154,305",26.6432°N 81.9974°W
133,Mobile,Alabama,"188,720","195,111",30.6684°N 88.1002°W
134,Knoxville,Tennessee,"187,603","178,874",35.9707°N 83.9493°W
135,Shreveport,Louisiana,"187,112","199,311",32.4669°N 93.7922°W
136,Worcester,Massachusetts,"185,428","181,045",42.2695°N 71.8078°W
137,Ontario,California,"185,010","163,924",34.0394°N 117.6042°W
138,Vancouver,Washington,"184,463","161,791",45.6349°N 122.5957°W
139,Sioux Falls,South Dakota,"183,793","153,888",43.5383°N 96.7320°W
140,Chattanooga,Tennessee,"182,799","167,674",35.0660°N 85.2484°W
141,Brownsville,Texas,"182,781","175,023",25.9991°N 97.4550°W
142,Fort Lauderdale,Florida,"182,437","165,521",26.1412°N 80.1467°W
143,Providence,Rhode Island,"179,883","178,042",41.8231°N 71.4188°W
144,Newport News,Virginia,"179,225","180,719",37.0762°N 76.5220°W
145,Rancho Cucamonga,California,"177,603","165,269",34.1233°N 117.5642°W
146,Santa Rosa,California,"176,753","167,815",38.4468°N 122.7061°W
147,Peoria,Arizona,"175,961","154,065",33.7862°N 112.3080°W
148,Oceanside,California,"175,742","167,086",33.2245°N 117.3062°W
149,Elk Grove,California,"174,775","153,015",38.4146°N 121.3850°W
150,Salem,Oregon,"174,365","154,637",44.9237°N 123.0232°W
151,Pembroke Pines,Florida,"173,591","154,019",26.0210°N 80.3404°W
152,Eugene,Oregon,"172,622","156,185",44.0567°N 123.1162°W
153,Garden Grove,California,"171,644","170,883",33.7788°N 117.9605°W
154,Cary,North Carolina,"170,282","135,234",35.7809°N 78.8133°W
155,Fort Collins,Colorado,"170,243","143,986",40.5482°N 105.0648°W
156,Corona,California,"169,868","152,374",33.8620°N 117.5655°W
157,Springfield,Missouri,"167,882","159,498",37.1942°N 93.2913°W
158,Jackson,Mississippi,"160,628","173,514",32.3158°N 90.2128°W
159,Alexandria,Virginia,"159,428","139,966",38.8201°N 77.0841°W
